,Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
987,81,76,2016-04-11,31-103,CLE,,ATL,W (+15),1,32:25,13,16,0.813,3,4,0.75,5,5,1.0,1,5,6,6,2,1,4,2,34,32.3,13
988,1,1,2016-10-25,31-300,CLE,,NYK,W (+29),1,32:23,9,14,0.643,0,3,0.0,1,2,0.5,3,8,11,14,0,1,4,3,19,22.2,27
989,2,2,2016-10-28,31-303,CLE,@,TOR,W (+3),1,38:40,7,16,0.43799999999999994,2,6,0.33299999999999996,5,7,0.7140000000000001,2,6,8,7,0,0,5,2,21,14.1,0
990,3,3,2016-10-29,31-304,CLE,,ORL,W (+6),1,39:00,7,16,0.43799999999999994,2,6,0.33299999999999996,7,11,0.636,1,5,6,9,1,1,2,2,23,20.4,1
991,4,4,2016-11-01,31-307,CLE,,HOU,W (+8),1,35:51,6,12,0.5,1,3,0.33299999999999996,6,10,0.6,3,10,13,8,0,0,4,4,19,16.5,15
992,5,5,2016-11-03,31-309,CLE,,BOS,W (+6),1,36:22,12,22,0.545,1,4,0.25,5,5,1.0,1,6,7,12,1,0,2,2,30,28.5,18
993,6,6,2016-11-05,31-311,CLE,@,PHI,W (+1),1,35:52,9,23,0.391,1,5,0.2,6,7,0.857,1,7,8,14,2,1,5,1,25,22.0,11
994,7,7,2016-11-08,31-314,CLE,,ATL,L (-4),1,36:52,8,17,0.47100000000000003,2,5,0.4,5,5,1.0,2,7,9,5,3,0,1,3,23,22.1,7
995,8,8,2016-11-11,31-317,CLE,@,WAS,W (+11),1,38:06,9,18,0.5,3,4,0.75,6,9,0.667,0,10,10,5,2,2,6,1,27,20.3,7
996,9,9,2016-11-13,31-319,CLE,,CHO,W (+7),1,38:42,8,21,0.381,2,5,0.4,1,2,0.5,0,8,8,8,1,1,3,0,19,13.8,12
997,10,10,2016-11-15,31-321,CLE,,TOR,W (+4),1,38:04,10,15,0.667,2,5,0.4,6,10,0.6,0,9,9,15,1,0,5,2,28,28.3,1
998,12,11,2016-11-18,31-324,CLE,,DET,W (+23),1,28:03,9,14,0.643,1,3,0.33299999999999996,2,3,0.667,0,3,3,3,0,1,2,1,21,15.7,21
999,13,12,2016-11-23,31-329,CLE,,POR,W (+12),1,37:30,11,21,0.524,2,3,0.667,7,8,0.875,1,9,10,13,3,0,3,0,31,32.8,17
1000,14,13,2016-11-25,31-331,CLE,,DAL,W (+38),1,29:03,6,13,0.462,2,5,0.4,5,5,1.0,0,5,5,11,1,0,4,1,19,18.1,33
1001,15,14,2016-11-27,31-333,CLE,@,PHI,W (+4),1,41:30,9,19,0.474,1,4,0.25,7,9,0.778,2,8,10,13,1,0,5,0,26,24.4,2
1002,16,15,2016-11-29,31-335,CLE,@,MIL,L (-17),1,32:53,8,16,0.5,3,8,0.375,3,7,0.429,0,4,4,4,0,0,7,3,22,8.2,-12
1003,17,16,2016-12-01,31-337,CLE,,LAC,L (-19),1,33:37,5,14,0.35700000000000004,0,2,0.0,6,11,0.545,1,4,5,5,2,0,5,2,16,7.8,-20
1004,18,17,2016-12-02,31-338,CLE,@,CHI,L (-6),1,44:40,13,22,0.591,1,3,0.33299999999999996,0,0,,0,5,5,13,0,0,8,2,27,18.6,-3
1005,19,18,2016-12-05,31-341,CLE,@,TOR,W (+4),1,42:01,12,26,0.462,2,7,0.28600000000000003,8,9,0.889,3,5,8,7,2,0,1,2,34,28.9,9
1006,20,19,2016-12-07,31-343,CLE,@,NYK,W (+32),1,32:27,7,10,0.7,1,2,0.5,10,14,0.7140000000000001,2,4,6,7,1,2,4,2,25,24.3,32
1007,21,20,2016-12-09,31-345,CLE,,MIA,W (+30),1,37:19,12,22,0.545,1,3,0.33299999999999996,2,4,0.5,2,6,8,8,3,0,3,2,27,23.6,21
1008,22,21,2016-12-10,31-346,CLE,,CHO,W (+11),1,42:27,17,24,0.708,5,10,0.5,5,9,0.556,1,8,9,10,3,1,5,3,44,40.0,-2
1009,23,22,2016-12-13,31-349,CLE,,MEM,W (+17),1,36:29,9,17,0.529,0,4,0.0,5,8,0.625,1,5,6,8,3,0,6,1,23,17.9,8
1010,25,23,2016-12-17,31-353,CLE,,LAL,W (+11),1,38:55,9,18,0.5,2,5,0.4,6,11,0.545,1,6,7,9,2,2,2,1,26,24.8,17
1011,26,24,2016-12-20,31-356,CLE,@,MIL,W (+6),1,47:29,12,25,0.48,5,9,0.556,5,6,0.833,3,9,12,7,1,1,2,2,34,29.5,8
1012,27,25,2016-12-21,31-357,CLE,,MIL,W (+11),1,34:25,12,24,0.5,4,7,0.5710000000000001,1,1,1.0,1,8,9,6,0,0,2,0,29,22.3,26
1013,28,26,2016-12-23,31-359,CLE,,BRK,W (+20),1,27:16,7,16,0.43799999999999994,0,3,0.0,5,6,0.833,1,3,4,6,3,0,1,0,19,18.0,33
1014,29,27,2016-12-25,31-361,CLE,,GSW,W (+1),1,40:11,12,22,0.545,4,8,0.5,3,7,0.429,5,8,13,4,2,1,5,2,31,24.4,4
1015,31,28,2016-12-29,31-365,CLE,,BOS,W (+6),1,43:44,9,18,0.5,2,6,0.33299999999999996,3,7,0.429,2,6,8,11,1,3,8,2,23,17.6,1
1016,32,29,2016-12-31,32-001,CLE,@,CHO,W (+12),1,35:47,12,25,0.48,4,8,0.5,4,6,0.667,2,4,6,9,1,0,1,1,32,27.0,17
1017,33,30,2017-01-02,32-003,CLE,,NOP,W (+8),1,38:55,9,21,0.429,0,4,0.0,8,10,0.8,2,5,7,6,2,1,4,1,26,19.5,-4
1018,34,31,2017-01-04,32-005,CLE,,CHI,L (-12),1,36:53,12,21,0.5710000000000001,1,2,0.5,6,9,0.667,2,6,8,7,1,0,5,2,31,23.2,-13
1019,35,32,2017-01-06,32-007,CLE,@,BRK,W (+8),1,35:17,14,20,0.7,0,1,0.0,8,10,0.8,0,9,9,6,3,0,5,2,36,30.9,20
1020,36,33,2017-01-08,32-009,CLE,@,PHO,W (+4),1,39:31,11,17,0.647,2,4,0.5,4,6,0.667,3,5,8,4,1,0,7,3,28,18.9,-2
1021,37,34,2017-01-10,32-011,CLE,@,UTA,L (-8),1,36:55,10,20,0.5,3,6,0.5,6,7,0.857,1,5,6,5,4,0,4,0,29,24.3,-8
1022,38,35,2017-01-11,32-012,CLE,@,POR,L (-16),1,30:31,5,12,0.41700000000000004,2,5,0.4,8,9,0.889,1,10,11,4,1,1,5,1,20,16.0,-7
1023,39,36,2017-01-13,32-014,CLE,@,SAC,W (+12),1,41:41,6,12,0.5,1,4,0.25,3,3,1.0,0,2,2,15,1,1,5,2,16,17.0,16
1024,40,37,2017-01-16,32-017,CLE,@,GSW,L (-35),1,35:00,6,18,0.33299999999999996,1,4,0.25,7,10,0.7,2,6,8,2,1,0,6,1,20,7.8,-32
1025,41,38,2017-01-19,32-020,CLE,,PHO,W (+15),1,39:08,8,12,0.667,0,2,0.0,5,8,0.625,0,9,9,15,1,2,4,2,21,25.4,14
1026,42,39,2017-01-21,32-022,CLE,,SAS,L (-3),1,45:20,11,16,0.688,2,5,0.4,5,7,0.7140000000000001,0,6,6,7,2,0,7,5,29,21.1,-16
1027,43,40,2017-01-23,32-024,CLE,@,NOP,L (-2),1,43:43,11,21,0.524,1,4,0.25,3,4,0.75,2,8,10,12,2,0,6,2,26,22.7,-10
