,Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1077,16,16,2017-11-17,32-322,CLE,,LAC,W (+5),1,46:08,17,26,0.654,4,9,0.444,1,5,0.2,1,13,14,6,0,0,6,0,39,28.8,1
1078,17,17,2017-11-20,32-325,CLE,@,DET,W (+28),1,27:16,7,14,0.5,3,5,0.6,1,1,1.0,0,2,2,8,1,1,0,2,18,18.1,21
1079,18,18,2017-11-22,32-327,CLE,,BRK,W (+10),1,33:26,11,17,0.647,4,7,0.5710000000000001,7,9,0.778,1,5,6,5,2,0,3,2,33,28.6,20
1080,19,19,2017-11-24,32-329,CLE,,CHO,W (+1),1,39:34,10,20,0.5,3,8,0.375,4,7,0.5710000000000001,1,15,16,13,0,3,3,2,27,28.4,-2
1081,20,20,2017-11-27,32-332,CLE,@,PHI,W (+22),1,31:03,12,23,0.522,3,7,0.429,3,4,0.75,3,11,14,6,0,0,3,0,30,24.9,1
1082,21,21,2017-11-28,32-333,CLE,,MIA,W (+11),1,28:26,10,16,0.625,1,3,0.33299999999999996,0,1,0.0,2,10,12,6,5,1,2,1,21,25.3,26
1083,22,22,2017-11-30,32-335,CLE,@,ATL,W (+7),1,37:34,8,11,0.727,3,6,0.5,5,7,0.7140000000000001,1,5,6,12,2,2,3,3,24,28.5,10
1084,23,23,2017-12-02,32-337,CLE,,MEM,W (+5),1,39:09,13,22,0.591,0,3,0.0,8,8,1.0,0,2,2,12,0,1,5,1,34,28.1,-5
1085,24,24,2017-12-04,32-339,CLE,@,CHI,W (+22),1,34:16,9,15,0.6,2,4,0.5,3,4,0.75,0,7,7,6,2,0,2,1,23,21.6,27
1086,25,25,2017-12-06,32-341,CLE,,SAC,W (+6),1,41:03,12,18,0.667,5,8,0.625,3,6,0.5,2,9,11,9,3,2,7,0,32,30.8,2
1087,26,26,2017-12-08,32-343,CLE,@,IND,L (-4),1,39:25,12,22,0.545,1,5,0.2,4,5,0.8,2,8,10,8,1,2,3,1,29,26.4,3
1088,27,27,2017-12-09,32-344,CLE,,PHI,W (+7),1,38:44,9,23,0.391,2,6,0.33299999999999996,10,12,0.833,3,10,13,13,3,0,6,1,30,27.5,-3
1089,28,28,2017-12-12,32-347,CLE,,ATL,W (+9),1,35:01,11,13,0.846,2,3,0.667,1,2,0.5,0,7,7,17,2,0,2,4,25,32.3,19
1090,29,29,2017-12-14,32-349,CLE,,LAL,W (+9),1,38:43,8,18,0.444,1,6,0.16699999999999998,8,12,0.667,1,11,12,12,2,2,5,0,25,24.8,14
1091,30,30,2017-12-16,32-351,CLE,,UTA,W (+9),1,36:48,9,15,0.6,1,4,0.25,10,10,1.0,0,11,11,10,1,0,5,2,29,27.6,0
1092,31,31,2017-12-17,32-352,CLE,@,WAS,W (+7),1,41:21,8,23,0.348,2,7,0.28600000000000003,2,3,0.667,2,9,11,15,0,1,6,4,20,14.4,4
1093,32,32,2017-12-19,32-354,CLE,@,MIL,L (-3),1,34:14,14,22,0.636,6,11,0.545,5,5,1.0,0,1,1,7,3,2,7,1,39,31.4,-7
1094,33,33,2017-12-21,32-356,CLE,,CHI,W (+3),1,39:06,12,23,0.522,2,5,0.4,8,8,1.0,1,5,6,9,3,0,4,1,34,29.8,5
1095,34,34,2017-12-25,32-360,CLE,@,GSW,L (-7),1,40:03,7,18,0.389,2,7,0.28600000000000003,4,7,0.5710000000000001,1,5,6,6,0,0,7,2,20,7.6,-1
1096,35,35,2017-12-27,32-362,CLE,@,SAC,L (-14),1,37:42,6,17,0.353,0,2,0.0,4,5,0.8,2,8,10,14,5,0,4,2,16,19.9,-11
1097,36,36,2017-12-30,33-000,CLE,@,UTA,L (-3),1,37:27,12,22,0.545,1,7,0.14300000000000002,4,5,0.8,1,7,8,6,2,1,6,1,29,21.3,-5
1098,37,37,2018-01-02,33-003,CLE,,POR,W (+17),1,33:49,10,17,0.588,0,2,0.0,4,4,1.0,1,5,6,8,4,1,3,2,24,24.8,0
1099,38,38,2018-01-03,33-004,CLE,@,BOS,L (-14),1,32:42,8,15,0.5329999999999999,0,2,0.0,3,3,1.0,0,7,7,6,1,1,4,1,19,15.3,-6
1100,39,39,2018-01-06,33-007,CLE,@,ORL,W (+4),1,37:17,12,23,0.522,4,7,0.5710000000000001,5,7,0.7140000000000001,3,7,10,9,6,1,3,1,33,34.7,15
1101,40,40,2018-01-08,33-009,CLE,@,MIN,L (-28),1,26:35,4,8,0.5,1,3,0.33299999999999996,1,3,0.33299999999999996,1,7,8,5,0,2,3,2,10,9.1,-39
1102,41,41,2018-01-11,33-012,CLE,@,TOR,L (-34),1,32:14,9,16,0.563,0,1,0.0,8,10,0.8,0,3,3,1,1,2,2,1,26,19.2,-22
1103,42,42,2018-01-12,33-013,CLE,@,IND,L (-2),1,40:27,11,25,0.44,2,9,0.222,3,4,0.75,2,6,8,11,3,1,5,2,27,22.3,-6
1104,43,43,2018-01-15,33-016,CLE,,GSW,L (-10),1,36:15,12,18,0.667,0,2,0.0,8,13,0.615,2,6,8,6,3,4,8,3,32,26.2,-14
1105,44,44,2018-01-18,33-019,CLE,,ORL,W (+1),1,34:47,7,16,0.43799999999999994,0,4,0.0,2,8,0.25,1,4,5,6,1,0,6,1,16,5.9,-4
1106,45,45,2018-01-20,33-021,CLE,,OKC,L (-24),1,38:22,8,17,0.47100000000000003,0,4,0.0,2,4,0.5,0,3,3,7,0,1,2,2,18,12.2,-33
1107,46,46,2018-01-23,33-024,CLE,@,SAS,L (-12),1,37:57,10,23,0.435,2,6,0.33299999999999996,6,10,0.6,2,7,9,7,0,1,5,0,28,18.4,-10
1108,47,47,2018-01-26,33-027,CLE,,IND,W (+7),1,39:55,11,17,0.647,0,2,0.0,4,5,0.8,0,10,10,11,4,1,11,0,26,22.5,12
1109,48,48,2018-01-28,33-029,CLE,,DET,W (+17),1,37:48,8,15,0.5329999999999999,1,4,0.25,8,9,0.889,1,7,8,14,1,0,3,0,25,27.9,18
1110,49,49,2018-01-30,33-031,CLE,@,DET,L (-11),1,37:45,9,20,0.45,2,7,0.28600000000000003,1,2,0.5,0,6,6,7,0,1,4,2,21,12.8,-13
1111,50,50,2018-01-31,33-032,CLE,,MIA,W (+2),1,38:17,8,21,0.381,1,6,0.16699999999999998,7,11,0.636,2,9,11,5,1,0,7,1,24,12.1,3
1112,51,51,2018-02-03,33-035,CLE,,HOU,L (-32),1,31:22,3,10,0.3,1,2,0.5,4,4,1.0,1,8,9,9,2,1,2,0,11,15.3,-17
1113,52,52,2018-02-06,33-038,CLE,@,ORL,L (-18),1,33:05,10,17,0.588,2,4,0.5,3,4,0.75,1,9,10,5,1,0,6,4,25,17.0,-14
1114,53,53,2018-02-07,33-039,CLE,,MIN,W (+2),1,48:19,16,22,0.727,5,7,0.7140000000000001,0,2,0.0,1,9,10,15,1,1,5,3,37,36.6,-1
1115,54,54,2018-02-09,33-041,CLE,@,ATL,W (+16),1,40:43,8,20,0.4,0,3,0.0,6,7,0.857,2,10,12,19,0,0,3,2,22,24.7,12
1116,55,55,2018-02-11,33-043,CLE,@,BOS,W (+22),1,27:54,9,20,0.45,2,5,0.4,4,7,0.5710000000000001,0,8,8,10,1,1,2,1,24,21.1,23
1117,56,56,2018-02-13,33-045,CLE,@,OKC,W (+8),1,39:44,14,23,0.609,3,7,0.429,6,10,0.6,0,8,8,8,0,1,5,1,37,28.2,-1
1118,57,57,2018-02-22,33-054,CLE,,WAS,L (-7),1,36:36,13,18,0.722,1,4,0.25,5,9,0.556,1,8,9,8,2,0,4,2,32,28.9,-10
1119,58,58,2018-02-23,33-055,CLE,@,MEM,W (+23),1,36:40,7,16,0.43799999999999994,0,2,0.0,4,4,1.0,0,14,14,11,1,0,3,0,18,19.5,18
1120,59,59,2018-02-25,33-057,CLE,,SAS,L (-16),1,39:58,14,25,0.56,2,5,0.4,3,4,0.75,2,11,13,9,1,0,6,3,33,25.5,-8
1121,60,60,2018-02-27,33-059,CLE,,BRK,W (+6),1,38:46,13,25,0.52,2,4,0.5,3,3,1.0,4,8,12,11,1,0,1,1,31,31.2,2
1122,61,61,2018-03-01,33-061,CLE,,PHI,L (-11),1,39:02,12,24,0.5,2,6,0.33299999999999996,4,6,0.667,1,8,9,8,1,0,3,2,30,23.1,-8
1123,62,62,2018-03-03,33-063,CLE,,DEN,L (-9),1,42:23,8,19,0.42100000000000004,1,4,0.25,8,11,0.727,1,9,10,15,2,0,3,2,25,25.8,-6
1124,63,63,2018-03-05,33-065,CLE,,DET,W (+22),1,28:44,11,17,0.647,5,7,0.7140000000000001,4,6,0.667,2,5,7,7,1,0,3,2,31,27.7,14
1125,64,64,2018-03-07,33-067,CLE,@,DEN,W (+5),1,39:08,15,25,0.6,5,8,0.625,4,8,0.5,1,7,8,10,1,0,3,2,39,32.9,8
1126,65,65,2018-03-09,33-069,CLE,@,LAC,L (-14),1,38:53,11,20,0.55,3,7,0.429,0,2,0.0,0,10,10,6,2,3,5,2,25,20.1,-16
1127,66,66,2018-03-11,33-071,CLE,@,LAL,L (-14),1,31:27,9,20,0.45,2,8,0.25,4,5,0.8,2,8,10,7,1,1,2,0,24,21.6,-13
1128,67,67,2018-03-13,33-073,CLE,@,PHO,W (+22),1,33:13,7,14,0.5,1,2,0.5,13,15,0.867,0,12,12,11,3,2,5,2,28,30.1,23
1129,68,68,2018-03-15,33-075,CLE,@,POR,L (-8),1,41:05,15,25,0.6,1,4,0.25,4,9,0.444,0,14,14,6,2,3,6,4,35,26.4,-3
1130,69,69,2018-03-17,33-077,CLE,@,CHI,W (+5),1,39:53,15,26,0.5770000000000001,2,8,0.25,1,4,0.25,1,12,13,12,1,2,6,3,33,27.5,-4
1131,70,70,2018-03-19,33-079,CLE,,MIL,W (+7),1,40:01,16,29,0.552,3,7,0.429,5,8,0.625,5,7,12,10,2,1,6,2,40,33.4,4
1132,71,71,2018-03-21,33-081,CLE,,TOR,W (+3),1,39:24,11,19,0.579,1,3,0.33299999999999996,12,14,0.857,1,6,7,17,1,0,0,2,35,39.9,12
1133,72,72,2018-03-23,33-083,CLE,,PHO,W (+25),1,29:16,11,16,0.688,1,4,0.25,4,6,0.667,0,6,6,9,1,1,4,3,27,24.0,11
1134,73,73,2018-03-25,33-085,CLE,@,BRK,W (+7),1,38:03,14,19,0.737,1,4,0.25,8,10,0.8,2,8,10,8,1,0,2,3,37,35.7,11
1135,74,74,2018-03-27,33-087,CLE,@,MIA,L (-19),1,37:59,7,18,0.389,0,4,0.0,4,5,0.8,1,5,6,7,0,0,6,1,18,8.5,-19
1136,75,75,2018-03-28,33-088,CLE,@,CHO,W (+13),1,36:53,14,26,0.5379999999999999,4,8,0.5,9,11,0.818,2,8,10,8,1,0,4,1,41,33.6,21
1137,76,76,2018-03-30,33-090,CLE,,NOP,W (+5),1,41:45,12,24,0.5,0,4,0.0,3,3,1.0,1,8,9,11,1,0,1,0,27,25.8,16
1138,77,77,2018-04-01,33-092,CLE,,DAL,W (+11),1,38:32,5,21,0.23800000000000002,2,3,0.667,4,4,1.0,3,10,13,12,0,0,2,1,16,14.4,7
1139,78,78,2018-04-03,33-094,CLE,,TOR,W (+6),1,37:16,8,14,0.5710000000000001,3,6,0.5,8,11,0.727,0,10,10,6,0,0,5,2,27,20.6,12
1140,79,79,2018-04-05,33-096,CLE,,WAS,W (+4),1,38:48,12,20,0.6,2,7,0.28600000000000003,7,10,0.7,2,7,9,14,0,0,6,2,33,29.1,13
1141,80,80,2018-04-06,33-097,CLE,@,PHI,L (-2),1,40:11,17,29,0.586,4,8,0.5,6,11,0.545,1,10,11,11,2,1,8,0,44,34.6,7
1142,81,81,2018-04-09,33-100,CLE,@,NYK,W (+14),1,38:38,7,16,0.43799999999999994,3,6,0.5,9,10,0.9,0,6,6,11,1,0,4,2,26,22.9,12
1143,82,82,2018-04-11,33-102,CLE,,NYK,L (-12),1,10:33,4,9,0.444,0,2,0.0,2,3,0.667,1,4,5,2,1,0,3,0,10,6.2,5
